CUS1020,Đặng Văn Út,0912345020,dangut@email.com,234 An Dương Vương, Q5,5,2025-11-12
CUS1021,Bùi Thị Vân,0912345021,buivan@email.com,345 Hậu Giang, Q6,0,2025-11-12
CUS1017,Phạm Văn Rồng,0912345017,phamrong@email.com,888 Tô Hiến Thành, Q10,0,2025-11-12
CUS1018,Huỳnh Thị Sen,0912345018,huynhsen@email.com,999 Bà Hạt, Q10,0,2025-11-12
CUS1015,Nguyễn Đức Phát,0912345015,nguyenphat@email.com,666 Sư Vạn Hạnh, Q10,0,2025-11-12
CUS1016,Trần Thị Quỳnh,0912345016,tranquynh@email.com,777 Thành Thái, Q10,0,2025-11-12
CUS1013,Đỗ Thành Nam,0912345013,donam@email.com,444 3 Tháng 2, Q10,0,2025-11-12
CUS1014,Lê Thị Oanh,0912345014,leoanh@email.com,555 Lý Thái Tổ, Q10,0,2025-11-12
CUS1011,Trương Minh Lộc,0912345011,truongloc@email.com,222 Nguyễn Thị Minh Khai, Q1,0,2025-11-12
CUS1012,Hồ Thị Mai,0912345012,homai@email.com,333 Cách Mạng Tháng 8, Q3,0,2025-11-12
CUS1019,Võ Thành Tài,0912345019,votai@email.com,123 Nguyễn Chí Thanh, Q5,0,2025-11-12
CUS1010,Mai Văn Khánh,0912345010,maikhach@email.com,111 Lê Văn Sỹ, Q3,0,2025-11-12
CUS1030,Huỳnh Văn Hiếu,0912345030,huynhhieu@email.com,3456 Điện Biên Phủ, Q10,0,2025-11-12
CUS1006,Võ Thành Giáp,0912345006,vogiap@email.com,34 Cao Thắng, Q3,0,2025-11-12
CUS1028,Trần Văn Phúc,0912345028,tranphuc@email.com,1234 Cao Thắng, Q3,0,2025-11-12
CUS1007,Đặng Thu Hà,0912345007,dangha@email.com,56 Võ Văn Tần, Q3,0,2025-11-12
CUS1029,Phạm Thị Giang,0912345029,phamgiang@email.com,2345 Nguyễn Thiện Thuật, Q3,0,2025-11-12
CUS1004,Phạm Minh Đức,0912345004,phamduc@email.com,89 Pasteur, Q1,0,2025-11-12
CUS1026,Đỗ Thị Cúc,0912345026,docuc@email.com,890 Trần Phú, Q5,0,2025-11-12
CUS1005,Hoàng Thị Em,0912345005,hoangem@email.com,12 Nam Kỳ Khởi Nghĩa, Q3,0,2025-11-12
CUS1027,Nguyễn Thành Danh,0912345027,nguyendanh@email.com,901 Lý Thường Kiệt, Q10,0,2025-11-12
CUS1002,Trần Thị Bình,0912345002,tranbinh@email.com,45 Nguyễn Huệ, Q1,0,2025-11-12
CUS1024,Hoàng Đức Anh,0912345024,hoanganh@email.com,678 Tản Đà, Q5,0,2025-11-12
CUS1003,Lê Hoàng Cường,0912345003,lecuong@email.com,67 Đồng Khởi, Q1,0,2025-11-12
CUS1025,Lý Văn Bảo,0912345025,lybao@email.com,789 Nguyễn Trãi, Q5,0,2025-11-12
CUS1022,Mai Thành Xuân,0912345022,maixuan@email.com,456 Hồng Bàng, Q6,0,2025-11-12
CUS1001,Nguyễn Văn An,0912345001,nguyenan@email.com,123 Lê Lợi, Q1,0,2025-11-12
CUS1023,Trương Thị Yến,0912345023,truongyen@email.com,567 Minh Phụng, Q6,0,2025-11-12
CUS1008,Bùi Quốc Hưng,0912345008,buihung@email.com,78 Nguyễn Đình Chiểu, Q3,0,2025-11-12
CUS1009,Lý Thị Lan,0912345009,lylan@email.com,90 Điện Biên Phủ, Q3,0,2025-11-12
